test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
caries-1421-_jpeg.rf.2bba465d9b8cb7995e7832f94b365b8f.jpg,caries-580-_jpeg.rf.2de410c28fceef6fd5ee261556c76796.jpg,88,duplicate,yes,original_run
caries-669-_jpeg.rf.04325376221542065cde742c7d215de1.jpg,caries-2352-_jpeg.rf.4ddb5f98b785226710edc2d193dacef8.jpg,87,duplicate,yes,original_run
tooth_discolation-343-_jpeg.rf.540a95b9b2c89bf200c7e7819cfb625c.jpg,tooth_discolation-1355-_jpeg.rf.f4641fb8f62f558f16dfa85bd918d71f.jpg,86,duplicate,yes,original_run
caries-101-_jpeg.rf.5c101637d4df396023913bfba301620d.jpg,caries-547-_jpeg.rf.2f6360a8ff9eeb92921a5ec53bd34ef7.jpg,82,duplicate,yes,original_run
tooth_discolation-1137-_jpeg.rf.859adb61854bc7285ae485901baf4e8b.jpg,tooth_discolation-412-_jpeg.rf.1a26645fd643c9c26d9a99dd914b9bd5.jpg,82,duplicate,yes,original_run
tooth_discolation-286-_jpeg.rf.eed01bca0b18b8f4aaa4623d4efbf46d.jpg,tooth_discolation-1449-_jpeg.rf.2142aba29600b48b21f957cc340ca33b.jpg,80,duplicate,yes,original_run
hypodontia-248-_jpg.rf.26b958a811e0ac98e5284fa3a8f0b105.jpg,hypodontia-187-_JPG.rf.796b596fb4491cfb196b839cb5a8f25c.jpg,80,duplicate,yes,original_run
hypodontia-431-_JPG.rf.7c5bc684b3373196af0b21ec256be5e5.jpg,hypodontia-514-_JPG.rf.628881c5c1a732ad92893229ef398130.jpg,69,duplicate,yes,original_run
caries-1043-_jpeg.rf.fc1b5f8e9329b1401475472892e5a738.jpg,ulcer-1981-_jpeg.rf.99b6a94a8b242861b768ac31a9e9657c.jpg,68,duplicate,yes,original_run
ulcer-19-_jpeg.rf.1356c367a89de9c187187d2af7913d90.jpg,ulcer-930-_jpeg.rf.ee4a90f485172684216d7e393668f80c.jpg,68,duplicate,yes,original_run
tooth_discolation-717-_jpeg.rf.1af74a5a9820db5d6deda596884f3ae6.jpg,tooth_discolation-1226-_jpeg.rf.eabb4a3cf8055586bdf16935a2f3916a.jpg,67,duplicate,yes,original_run
caries-2213-_jpeg.rf.0f554a0d570b516730414bd9c6c6b5b0.jpg,caries-375-_jpeg.rf.8ac3845e09e91dbc295d0b1bb115fd9b.jpg,65,duplicate,yes,original_run
tooth_discolation-900-_jpeg.rf.7b3ece04558d144104455dee94e70e8b.jpg,tooth_discolation-1206-_jpeg.rf.7dc7da35b87edc28c529e47b47e28fa8.jpg,64,duplicate,yes,original_run
calculus-523-_jpg.rf.abf8652d77bead3dd7747de8e1507010.jpg,hypodontia-445-_JPG.rf.71ccdf3b906ec37b17d2cb2d98c63ac4.jpg,63,duplicate,yes,original_run
gingi-215-copy_jpg.rf.78914297fc853c72581d82054d0c3359.jpg,gingilagi-245-_jpg.rf.e09480c0e78621ae2974d6e68237af15.jpg,62,duplicate,yes,original_run
hypodontia-353-_JPG.rf.cbe7346efff32b0900ed92eb5caeea53.jpg,hypodontia-177-_JPG.rf.9294380512185a0cfade092af98ef684.jpg,58,duplicate,yes,original_run
ulcer-1529-_jpeg.rf.60fee3452e4561ef561f8799a6905f28.jpg,ulcer-484-_jpeg.rf.ac440ff056d81a82091997e7e5f2ab2d.jpg,57,duplicate,yes,original_run
tooth_discolation-1834-_jpeg.rf.9560f29dd26a7e02676d0ded9d4df05b.jpg,tooth_discolation-1709-_jpeg.rf.1d0aa06697fe1869f8d35a2cc655eec6.jpg,57,duplicate,yes,original_run
tooth_discolation-1534-_jpeg.rf.114cc099d19bb758fd1a128650b5c961.jpg,tooth_discolation-1808-_jpeg.rf.a261697d542187697b496d2dc01d8759.jpg,57,duplicate,yes,original_run
ulcer-1259-_jpeg.rf.018fa9884d90bc486240c3dde20b4fc5.jpg,ulcer-2229-_jpeg.rf.50f91f92be62fa367123dc880954929b.jpg,55,duplicate,yes,original_run
gingivitis-794-_jpg.rf.bcc574cd95997564f75a1c9c8f044f95.jpg,hypodontia-436-_JPG.rf.2f36d82bd89fe6024efda12e445a0431.jpg,54,duplicate,yes,original_run
ulcer-1777-_jpeg.rf.a02dade07e9746820afb3c8b5a6598b9.jpg,ulcer-1279-_jpeg.rf.980f33fbd9a331079cde665f61f01ecd.jpg,53,duplicate,yes,original_run
ulcer-1381-_jpeg.rf.e4c2cda1b057cd31f43945a1dc1e8f12.jpg,ulcer-2078-_jpeg.rf.1cd05eee9bdc77c94af26dfebbeea021.jpg,53,duplicate,yes,original_run
tooth_discolation-579-_jpeg.rf.0bc983ad735e47af285f6902905b4e33.jpg,tooth_discolation-837-_jpeg.rf.ff49ce915f810ecbb74de7b06ff74de6.jpg,53,duplicate,yes,original_run
